"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C1qa",3.12508952012009e-24,0.643807181134787,0.932,0.767,6.48549828110523e-20
"Cst3",4.5966078459873e-22,0.411903085548957,0.992,0.971,9.53934026277745e-18
"Auts2",6.74799216496829e-17,-1.95867255488498,0.11,0.254,1.40041081399587e-12
"Ctss",1.36552408958757e-16,0.38612191110133,0.971,0.885,2.83387214312109e-12
"C1qc",6.56048557830442e-14,0.685362927764708,0.666,0.433,1.36149757206552e-09
"Nav3",9.39261884895985e-13,-0.360585387863325,0.967,0.962,1.94925018972464e-08
"C1qb",2.05617476175265e-12,0.508865107302443,0.842,0.669,4.26717948306527e-08
"Ptprm",1.28115874582798e-11,0.945035963813285,0.346,0.167,2.65878874521681e-07
"Npc2",7.74242628889297e-09,0.38628426211993,0.739,0.552,0.000160678572773396
"Fchsd2",1.1122665174739e-08,-0.434297528693556,0.711,0.756,0.000230828670371357
"Ankrd55",2.74935903778113e-08,-0.567034505016721,0.482,0.562,0.000570574481110717
"Ctsb",1.69718502474215e-07,0.486245244429862,0.351,0.198,0.00352216808184738
"Grxcr1",3.21459039658548e-07,-0.822940756692029,0.329,0.406,0.00667123945003384
"Abhd12",4.13523642007848e-07,0.494282761627679,0.443,0.281,0.00858185614258887
"B2m",5.29612133873014e-07,0.412426445372287,0.693,0.519,0.0109910406142667
"Ano5",2.36684815826369e-06,0.422044558927524,0.326,0.192,0.0491191998284463
"Nav1",2.39251049173257e-06,0.618527722912546,0.295,0.171,0.049651770234926
